Run_ID,Accuracy,Duration,K_Size,Sigma,Lambda,Gamma
1,65.65%,56.6s,7,2.87,3.15,0.70
2,71.00%,54.8s,5,1.32,2.04,0.58
3,67.00%,53.6s,7,0.94,5.11,0.35
4,68.20%,54.2s,5,2.00,2.41,0.67
5,74.10%,52.0s,5,1.49,3.34,0.90
6,70.60%,71.4s,7,1.89,3.44,0.40
7,58.20%,55.6s,9,4.46,1.90,0.34
8,59.55%,55.2s,9,3.70,2.09,0.86
9,74.00%,53.2s,7,1.18,3.51,0.59
10,68.25%,54.3s,9,0.72,7.84,0.45
11,69.45%,53.4s,9,2.31,5.03,0.60
12,67.50%,53.1s,5,1.20,3.75,0.90
13,66.85%,53.8s,7,1.23,6.85,0.44
14,69.05%,53.0s,5,0.81,2.09,0.81
15,74.15%,52.7s,5,2.03,3.74,0.69
16,67.40%,54.7s,9,3.52,4.10,0.61
17,70.15%,53.4s,5,1.31,4.06,0.41
18,69.50%,53.9s,9,3.91,4.56,0.51
19,66.25%,53.7s,5,0.99,4.27,0.30
20,72.05%,52.6s,5,2.25,4.37,0.58
21,68.80%,54.1s,9,0.59,3.79,0.50
22,73.60%,53.6s,9,2.97,4.41,0.69
23,73.90%,53.0s,9,1.80,4.30,0.96
24,65.25%,54.3s,9,1.82,8.94,0.31
25,68.75%,52.8s,5,2.44,2.71,0.73
26,67.95%,54.2s,7,2.03,2.46,0.32
27,65.65%,58.2s,5,2.15,1.92,0.41
28,72.40%,60.0s,7,2.57,6.93,0.67
29,71.80%,54.0s,9,1.66,5.49,0.31
30,68.25%,53.6s,5,0.71,4.06,0.76
