Run_ID,Accuracy,Duration,LR,Flex,Couple,Thresh
1,62.56%,94.3s,0.085,0.056,0.289,0.489
2,63.16%,105.1s,0.077,0.236,0.042,0.471
3,64.88%,110.7s,0.150,0.208,0.229,0.351
4,67.24%,108.8s,0.046,0.209,0.109,0.489
5,63.68%,109.0s,0.089,0.214,0.166,0.343
6,64.60%,102.8s,0.073,0.114,0.200,0.424
7,62.32%,107.5s,0.116,0.272,0.298,0.484
8,62.88%,94.6s,0.094,0.081,0.251,0.356
9,62.28%,106.6s,0.062,0.071,0.030,0.279
10,67.08%,106.8s,0.034,0.220,0.060,0.485
11,63.20%,110.7s,0.133,0.115,0.126,0.443
12,64.24%,106.7s,0.108,0.221,0.245,0.305
13,62.60%,96.3s,0.126,0.206,0.118,0.374
14,67.52%,96.1s,0.031,0.175,0.268,0.344
15,61.92%,96.9s,0.090,0.185,0.250,0.291
16,65.72%,94.3s,0.129,0.197,0.021,0.422
17,61.64%,121.7s,0.127,0.298,0.060,0.462
18,63.44%,91.3s,0.130,0.298,0.048,0.416
19,63.28%,66.9s,0.097,0.071,0.260,0.390
20,66.16%,68.2s,0.107,0.200,0.195,0.308
21,63.60%,68.7s,0.036,0.157,0.265,0.267
22,63.48%,68.6s,0.135,0.116,0.249,0.251
23,64.08%,70.2s,0.067,0.091,0.224,0.411
24,64.32%,74.0s,0.124,0.089,0.278,0.453
25,62.20%,94.2s,0.083,0.238,0.047,0.371
26,69.84%,95.4s,0.025,0.118,0.276,0.352
27,67.08%,94.7s,0.032,0.065,0.070,0.363
28,65.48%,95.9s,0.052,0.140,0.061,0.396
29,63.00%,95.8s,0.106,0.073,0.212,0.312
30,68.40%,93.8s,0.035,0.057,0.165,0.413
31,62.44%,94.9s,0.114,0.242,0.297,0.411
32,63.32%,96.0s,0.118,0.197,0.002,0.280
33,64.64%,96.1s,0.119,0.288,0.153,0.376
34,68.36%,97.2s,0.024,0.068,0.248,0.472
35,65.40%,96.3s,0.132,0.149,0.025,0.319
36,63.44%,95.7s,0.114,0.283,0.243,0.391
37,68.32%,97.8s,0.030,0.183,0.139,0.408
38,61.80%,96.5s,0.078,0.195,0.139,0.255
39,64.00%,95.3s,0.138,0.115,0.101,0.394
40,65.80%,93.3s,0.057,0.067,0.211,0.451
41,64.92%,96.9s,0.040,0.223,0.007,0.341
42,64.44%,97.3s,0.146,0.201,0.250,0.269
43,64.60%,96.1s,0.056,0.161,0.297,0.389
44,63.56%,97.1s,0.116,0.272,0.081,0.296
